Hit_ID,Query_ID
lcl|NZ_JACRYS010000007.1_prot_544,lcl|NZ_VWOH01000010.1_prot_WP_152309986.1_2
lcl|NZ_JACRYS010000016.1_prot_198,lcl|NZ_VWOH01000018.1_prot_5
lcl|NZ_JACRYS010000055.1_prot_WP_193622166.1_480,lcl|NZ_VWOH01000013.1_prot_WP_152309988.1_6
lcl|NZ_JACRYS010000006.1_prot_WP_193621910.1_489,lcl|NZ_VWOH01000001.1_prot_WP_152309566.1_7
lcl|NZ_JACRYS010000003.1_prot_WP_193621823.1_309,lcl|NZ_VWOH01000001.1_prot_WP_152309568.1_9
lcl|NZ_JACRYS010000007.1_prot_WP_193621957.1_558,lcl|NZ_VWOH01000001.1_prot_WP_152309569.1_10
lcl|NZ_JACRYS010000003.1_prot_WP_193621835.1_323,lcl|NZ_VWOH01000001.1_prot_WP_152309570.1_11
lcl|NZ_JACRYS010000003.1_prot_WP_193621834.1_322,lcl|NZ_VWOH01000001.1_prot_WP_152309571.1_12
lcl|NZ_JACRYS010000003.1_prot_WP_193621833.1_321,lcl|NZ_VWOH01000001.1_prot_WP_152309572.1_13
lcl|NZ_JACRYS010000003.1_prot_WP_193621832.1_320,lcl|NZ_VWOH01000001.1_prot_WP_193310876.1_14
lcl|NZ_JACRYS010000008.1_prot_WP_193621983.1_604,lcl|NZ_VWOH01000001.1_prot_WP_152309574.1_15
lcl|NZ_JACRYS010000008.1_prot_WP_193621982.1_603,lcl|NZ_VWOH01000001.1_prot_WP_152309575.1_16
lcl|NZ_JACRYS010000008.1_prot_WP_193621981.1_602,lcl|NZ_VWOH01000001.1_prot_WP_152309576.1_17
lcl|NZ_JACRYS010000008.1_prot_WP_193621980.1_601,lcl|NZ_VWOH01000001.1_prot_WP_152309577.1_18
lcl|NZ_JACRYS010000008.1_prot_WP_193621979.1_600,lcl|NZ_VWOH01000001.1_prot_WP_152309578.1_19
lcl|NZ_JACRYS010000008.1_prot_WP_193621978.1_599,lcl|NZ_VWOH01000001.1_prot_WP_152309579.1_20
lcl|NZ_JACRYS010000004.1_prot_WP_193621864.1_360,lcl|NZ_VWOH01000001.1_prot_WP_152309580.1_21
lcl|NZ_JACRYS010000004.1_prot_WP_193621846.1_362,lcl|NZ_VWOH01000001.1_prot_WP_152309581.1_22
lcl|NZ_JACRYS010000004.1_prot_WP_193621847.1_363,lcl|NZ_VWOH01000001.1_prot_WP_152309582.1_23
lcl|NZ_JACRYS010000004.1_prot_WP_193621848.1_364,lcl|NZ_VWOH01000001.1_prot_WP_152309583.1_24
lcl|NZ_JACRYS010000004.1_prot_WP_193621849.1_365,lcl|NZ_VWOH01000001.1_prot_WP_152309584.1_25
lcl|NZ_JACRYS010000004.1_prot_WP_193621850.1_366,lcl|NZ_VWOH01000001.1_prot_WP_193310863.1_26
lcl|NZ_JACRYS010000004.1_prot_WP_193621851.1_367,lcl|NZ_VWOH01000001.1_prot_WP_152309586.1_27
lcl|NZ_JACRYS010000004.1_prot_WP_193621852.1_368,lcl|NZ_VWOH01000001.1_prot_WP_152309587.1_28
lcl|NZ_JACRYS010000023.1_prot_WP_078122979.1_269,lcl|NZ_VWOH01000001.1_prot_WP_152309588.1_29
lcl|NZ_JACRYS010000023.1_prot_WP_193622104.1_270,lcl|NZ_VWOH01000001.1_prot_WP_152309589.1_30
lcl|NZ_JACRYS010000027.1_prot_WP_193622115.1_283,lcl|NZ_VWOH01000001.1_prot_WP_152309590.1_31
lcl|NZ_JACRYS010000001.1_prot_WP_193621726.1_31,lcl|NZ_VWOH01000001.1_prot_WP_193310864.1_32
lcl|NZ_JACRYS010000009.1_prot_WP_193622007.1_651,lcl|NZ_VWOH01000001.1_prot_WP_152309594.1_36
lcl|NZ_JACRYS010000009.1_prot_WP_193622006.1_650,lcl|NZ_VWOH01000001.1_prot_WP_152309595.1_37
lcl|NZ_JACRYS010000009.1_prot_WP_193622005.1_649,lcl|NZ_VWOH01000001.1_prot_WP_152309596.1_38
lcl|NZ_JACRYS010000009.1_prot_WP_193622004.1_646,lcl|NZ_VWOH01000001.1_prot_WP_152309597.1_39
lcl|NZ_JACRYS010000005.1_prot_WP_193621904.1_465,lcl|NZ_VWOH01000001.1_prot_WP_152309598.1_40
lcl|NZ_JACRYS010000005.1_prot_WP_193621903.1_464,lcl|NZ_VWOH01000001.1_prot_WP_152309599.1_41
lcl|NZ_JACRYS010000005.1_prot_WP_193621902.1_463,lcl|NZ_VWOH01000001.1_prot_WP_152309600.1_42
lcl|NZ_JACRYS010000005.1_prot_WP_193621901.1_462,lcl|NZ_VWOH01000001.1_prot_WP_152309601.1_43
lcl|NZ_JACRYS010000005.1_prot_WP_193621900.1_461,lcl|NZ_VWOH01000001.1_prot_WP_152309603.1_45
lcl|NZ_JACRYS010000005.1_prot_WP_193621899.1_460,lcl|NZ_VWOH01000001.1_prot_WP_152309604.1_46
lcl|NZ_JACRYS010000005.1_prot_WP_193621898.1_459,lcl|NZ_VWOH01000001.1_prot_WP_152309605.1_47
lcl|NZ_JACRYS010000005.1_prot_WP_193621897.1_458,lcl|NZ_VWOH01000001.1_prot_WP_152309606.1_48
lcl|NZ_JACRYS010000005.1_prot_WP_193621896.1_457,lcl|NZ_VWOH01000001.1_prot_WP_152309762.1_49
lcl|NZ_JACRYS010000005.1_prot_WP_078122918.1_456,lcl|NZ_VWOH01000001.1_prot_WP_152309607.1_50
lcl|NZ_JACRYS010000005.1_prot_WP_193621895.1_455,lcl|NZ_VWOH01000001.1_prot_WP_152309608.1_51
lcl|NZ_JACRYS010000005.1_prot_WP_078122916.1_454,lcl|NZ_VWOH01000001.1_prot_WP_152309609.1_52
lcl|NZ_JACRYS010000005.1_prot_WP_078122915.1_453,lcl|NZ_VWOH01000001.1_prot_WP_152309763.1_53
lcl|NZ_JACRYS010000005.1_prot_WP_193621894.1_452,lcl|NZ_VWOH01000001.1_prot_WP_152309610.1_54
lcl|NZ_JACRYS010000005.1_prot_WP_193621893.1_451,lcl|NZ_VWOH01000001.1_prot_WP_152309611.1_55
lcl|NZ_JACRYS010000005.1_prot_WP_193621892.1_450,lcl|NZ_VWOH01000001.1_prot_WP_152309612.1_56
lcl|NZ_JACRYS010000005.1_prot_WP_193621891.1_449,lcl|NZ_VWOH01000001.1_prot_WP_152309613.1_57
lcl|NZ_JACRYS010000005.1_prot_WP_193621890.1_448,lcl|NZ_VWOH01000001.1_prot_WP_193310877.1_58
lcl|NZ_JACRYS010000005.1_prot_WP_078122909.1_447,lcl|NZ_VWOH01000001.1_prot_WP_152309615.1_59
lcl|NZ_JACRYS010000005.1_prot_WP_193621889.1_446,lcl|NZ_VWOH01000001.1_prot_WP_152309616.1_60
lcl|NZ_JACRYS010000005.1_prot_WP_078122907.1_445,lcl|NZ_VWOH01000001.1_prot_WP_152309617.1_61
lcl|NZ_JACRYS010000005.1_prot_WP_193621888.1_444,lcl|NZ_VWOH01000001.1_prot_WP_152309618.1_62
lcl|NZ_JACRYS010000005.1_prot_WP_193621887.1_443,lcl|NZ_VWOH01000001.1_prot_WP_152309619.1_63
lcl|NZ_JACRYS010000005.1_prot_WP_193621886.1_442,lcl|NZ_VWOH01000001.1_prot_WP_152309620.1_64
lcl|NZ_JACRYS010000005.1_prot_WP_078122904.1_441,lcl|NZ_VWOH01000001.1_prot_WP_152309621.1_65
lcl|NZ_JACRYS010000005.1_prot_WP_193621885.1_440,lcl|NZ_VWOH01000001.1_prot_WP_152309622.1_66
lcl|NZ_JACRYS010000005.1_prot_WP_193621884.1_439,lcl|NZ_VWOH01000001.1_prot_WP_152309623.1_67
lcl|NZ_JACRYS010000005.1_prot_WP_078122901.1_438,lcl|NZ_VWOH01000001.1_prot_WP_152309624.1_68
lcl|NZ_JACRYS010000005.1_prot_WP_193621883.1_437,lcl|NZ_VWOH01000001.1_prot_WP_152309625.1_69
lcl|NZ_JACRYS010000005.1_prot_WP_078122899.1_436,lcl|NZ_VWOH01000001.1_prot_WP_152309626.1_70
lcl|NZ_JACRYS010000005.1_prot_WP_193621882.1_435,lcl|NZ_VWOH01000001.1_prot_WP_152309627.1_71
lcl|NZ_JACRYS010000005.1_prot_WP_193621881.1_434,lcl|NZ_VWOH01000001.1_prot_WP_152309628.1_72
lcl|NZ_JACRYS010000005.1_prot_WP_078122896.1_433,lcl|NZ_VWOH01000001.1_prot_WP_152309764.1_73
lcl|NZ_JACRYS010000005.1_prot_WP_193621880.1_432,lcl|NZ_VWOH01000001.1_prot_WP_152309629.1_74
lcl|NZ_JACRYS010000005.1_prot_WP_193621879.1_431,lcl|NZ_VWOH01000001.1_prot_WP_152309765.1_75
lcl|NZ_JACRYS010000005.1_prot_WP_078122893.1_430,lcl|NZ_VWOH01000001.1_prot_WP_152309630.1_76
lcl|NZ_JACRYS010000005.1_prot_WP_193621878.1_429,lcl|NZ_VWOH01000001.1_prot_WP_152309631.1_77
lcl|NZ_JACRYS010000005.1_prot_WP_193621877.1_428,lcl|NZ_VWOH01000001.1_prot_WP_152309632.1_78
lcl|NZ_JACRYS010000005.1_prot_WP_193621876.1_427,lcl|NZ_VWOH01000001.1_prot_WP_152309633.1_79
lcl|NZ_JACRYS010000005.1_prot_WP_193621875.1_426,lcl|NZ_VWOH01000001.1_prot_WP_152309634.1_80
lcl|NZ_JACRYS010000001.1_prot_WP_193621694.1_6,lcl|NZ_VWOH01000001.1_prot_WP_152309635.1_81
lcl|NZ_JACRYS010000006.1_prot_WP_193621931.1_510,lcl|NZ_VWOH01000001.1_prot_WP_152309636.1_82
lcl|NZ_JACRYS010000006.1_prot_WP_193621929.1_508,lcl|NZ_VWOH01000001.1_prot_WP_152309637.1_83
lcl|NZ_JACRYS010000006.1_prot_WP_193621928.1_507,lcl|NZ_VWOH01000001.1_prot_WP_152309638.1_84
lcl|NZ_JACRYS010000006.1_prot_WP_193621927.1_506,lcl|NZ_VWOH01000001.1_prot_WP_152309639.1_85
lcl|NZ_JACRYS010000006.1_prot_WP_193621926.1_505,lcl|NZ_VWOH01000001.1_prot_WP_193310866.1_86
lcl|NZ_JACRYS010000006.1_prot_WP_193621925.1_504,lcl|NZ_VWOH01000001.1_prot_WP_193310867.1_87
lcl|NZ_JACRYS010000006.1_prot_WP_193621924.1_503,lcl|NZ_VWOH01000001.1_prot_WP_152309641.1_88
lcl|NZ_JACRYS010000006.1_prot_WP_193621923.1_502,lcl|NZ_VWOH01000001.1_prot_WP_152309642.1_89
lcl|NZ_JACRYS010000006.1_prot_WP_193621922.1_501,lcl|NZ_VWOH01000001.1_prot_WP_152309643.1_90
lcl|NZ_JACRYS010000036.1_prot_WP_004994966.1_346,lcl|NZ_VWOH01000001.1_prot_WP_152309644.1_91
lcl|NZ_JACRYS010000036.1_prot_WP_193622129.1_347,lcl|NZ_VWOH01000001.1_prot_WP_152309645.1_92
lcl|NZ_JACRYS010000036.1_prot_WP_004994970.1_348,lcl|NZ_VWOH01000001.1_prot_WP_152309646.1_93
lcl|NZ_JACRYS010000036.1_prot_WP_082396465.1_349,lcl|NZ_VWOH01000001.1_prot_WP_152309647.1_94
