ABG13989,ABX86883,AAS62548
ABG13013,ABX86150,AAS61272
AAS62319,ABX85665,ABG13638
ABG12368,ABX86357,AAS63722
ABG16162,ABX84862,AAS58661
AAS61418,ABX87051,ABG12681
ABG15635,ABX87595,AAS64031
AAS62960,ABX88535,ABG12518
AAS61920,ABX85913,ABG13296
ABG16020,ABX86891,AAS63863
AAS63148,ABX88419,ABG15098
AAS62075,ABX87805,ABG13357
AAS61440,ABX86157,ABG12655
AAS62172,ABX88579,ABG13479
AAS63857,ABX86213,ABG16026
ABG15289,ABX85738,AAS60421
AAS64118,ABX85103,ABG14977
ABG13697,ABX86264,AAS62380
ABG12510,ABX87587,AAS62968
AAS60704,ABX86440,ABG15965
ABG13591,ABX88554,AAS62275
AAS61702,ABX86588,ABG12839
AAS62366,ABX88533,ABG13684
ABG13209,ABX87251,AAS61764
ABG16133,ABX85199,AAS64173
AAS61970,ABX85820,ABG13770
AAS63308,ABX87429,ABG12081
ABG14104,ABX88559,AAS62769
AAS62515,ABX86040,ABG13956
AAS64139,ABX84892,ABG16099
ABG12396,ABX85021,AAS63691
AAS64167,ABX87835,ABG16127
ABG15872,ABX86512,AAS60799
ABG14954,ABX85104,AAS60863
AAS62095,ABX86806,ABG13380
ABG15199,ABX85153,AAS60510
ABG14400,ABX84889,AAS62704
AAS60855,ABX85785,ABG12017
ABG12141,ABX86127,AAS63365
AAS63673,ABX87674,ABG12311
AAS61764,ABX87251,ABG13209
ABG15971,ABX86100,AAS60698
AAS60648,ABX87394,ABG14795
ABG14034,ABX88055,AAS62595
ABG13365,ABX88567,AAS62082
ABG12548,ABX87149,AAS61304
ABG12043,ABX85127,AAS60829
AAS60939,ABX88593,ABG14713
ABG14674,ABX85900,AAS60980
AAS58550,ABX88726,ABG16256
ABG14780,ABX86300,AAS60633
AAS60646,ABX86843,ABG14793
ABG13935,ABX87508,AAS62498
ABG13744,ABX87054,AAS62427
ABG14810,ABX88517,AAS60662
ABG15813,ABX85680,AAS63896
ABG12341,ABX86815,AAS63743
ABG12671,ABX87540,AAS61427
AAS63917,ABX87181,ABG15834
ABG12561,ABX87769,AAS61291
ABG15537,ABX86086,AAS63807
