Hit_ID,Query_ID
tr|L0HL06|L0HL06_ACIS0,tr|H9ZZS4|H9ZZS4_FERFK
tr|L0HKQ5|L0HKQ5_ACIS0,tr|H9ZZN5|H9ZZN5_FERFK
tr|L0HJU0|L0HJU0_ACIS0,tr|I0A0M5|I0A0M5_FERFK
tr|L0HJZ2|L0HJZ2_ACIS0,tr|I0A1C8|I0A1C8_FERFK
tr|L0HNA2|L0HNA2_ACIS0,tr|H9ZZG5|H9ZZG5_FERFK
tr|L0HLW1|L0HLW1_ACIS0,tr|I0A2J9|I0A2J9_FERFK
tr|L0HNN6|L0HNN6_ACIS0,tr|I0A1W0|I0A1W0_FERFK
tr|L0HH01|L0HH01_ACIS0,tr|I0A2T3|I0A2T3_FERFK
tr|L0HN05|L0HN05_ACIS0,tr|I0A099|I0A099_FERFK
tr|L0HJW3|L0HJW3_ACIS0,tr|I0A091|I0A091_FERFK
tr|L0HIY8|L0HIY8_ACIS0,tr|I0A080|I0A080_FERFK
tr|L0HNY8|L0HNY8_ACIS0,tr|I0A2B7|I0A2B7_FERFK
tr|L0HKC8|L0HKC8_ACIS0,tr|I0A1T2|I0A1T2_FERFK
tr|L0HMX4|L0HMX4_ACIS0,tr|I0A265|I0A265_FERFK
tr|L0HML6|L0HML6_ACIS0,tr|I0A0P4|I0A0P4_FERFK
tr|L0HNS7|L0HNS7_ACIS0,tr|I0A2E9|I0A2E9_FERFK
tr|L0HQ67|L0HQ67_ACIS0,tr|H9ZZB5|H9ZZB5_FERFK
tr|L0HME1|L0HME1_ACIS0,tr|I0A1D1|I0A1D1_FERFK
tr|L0HLZ1|L0HLZ1_ACIS0,tr|I0A2N6|I0A2N6_FERFK
tr|L0HMA1|L0HMA1_ACIS0,tr|I0A142|I0A142_FERFK
tr|L0HGU8|L0HGU8_ACIS0,tr|I0A1D8|I0A1D8_FERFK
tr|L0HL96|L0HL96_ACIS0,tr|I0A1Q3|I0A1Q3_FERFK
tr|L0HPC3|L0HPC3_ACIS0,tr|I0A275|I0A275_FERFK
tr|L0HMD4|L0HMD4_ACIS0,tr|I0A0J9|I0A0J9_FERFK
tr|L0HPE7|L0HPE7_ACIS0,tr|I0A0K4|I0A0K4_FERFK
tr|L0HQM5|L0HQM5_ACIS0,tr|H9ZZY9|H9ZZY9_FERFK
tr|L0HKS4|L0HKS4_ACIS0,tr|I0A299|I0A299_FERFK
tr|L0HIU4|L0HIU4_ACIS0,tr|H9ZZX1|H9ZZX1_FERFK
tr|L0HPU9|L0HPU9_ACIS0,tr|I0A227|I0A227_FERFK
tr|L0HNG9|L0HNG9_ACIS0,tr|I0A083|I0A083_FERFK
tr|L0HQK3|L0HQK3_ACIS0,tr|I0A2A4|I0A2A4_FERFK
tr|L0HNB7|L0HNB7_ACIS0,tr|I0A306|I0A306_FERFK
tr|L0HHI6|L0HHI6_ACIS0,tr|I0A069|I0A069_FERFK
tr|L0HLE8|L0HLE8_ACIS0,tr|I0A190|I0A190_FERFK
tr|L0HLU7|L0HLU7_ACIS0,tr|I0A2Q4|I0A2Q4_FERFK
tr|L0HKS3|L0HKS3_ACIS0,tr|I0A126|I0A126_FERFK
tr|L0HJL7|L0HJL7_ACIS0,tr|I0A1R6|I0A1R6_FERFK
tr|L0HI26|L0HI26_ACIS0,tr|I0A1G2|I0A1G2_FERFK
tr|L0HLX7|L0HLX7_ACIS0,tr|H9ZZG0|H9ZZG0_FERFK
tr|L0HQG8|L0HQG8_ACIS0,tr|I0A273|I0A273_FERFK
tr|L0HMX9|L0HMX9_ACIS0,tr|I0A053|I0A053_FERFK
tr|L0HPI2|L0HPI2_ACIS0,tr|I0A0T5|I0A0T5_FERFK
tr|L0HMI2|L0HMI2_ACIS0,tr|I0A253|I0A253_FERFK
tr|L0HMU9|L0HMU9_ACIS0,tr|I0A2F7|I0A2F7_FERFK
tr|L0HMS0|L0HMS0_ACIS0,tr|I0A1W3|I0A1W3_FERFK
tr|L0HN53|L0HN53_ACIS0,tr|I0A154|I0A154_FERFK
tr|L0HNI3|L0HNI3_ACIS0,tr|I0A0E3|I0A0E3_FERFK
tr|L0HNZ6|L0HNZ6_ACIS0,tr|I0A058|I0A058_FERFK
tr|L0HQF3|L0HQF3_ACIS0,tr|I0A0Q4|I0A0Q4_FERFK
