Hit_ID,Query_ID
AAS58638,ABG16139
AAS58640,ABG16140
AAS58641,ABG16141
AAS58642,ABG16142
AAS58643,ABG16143
AAS58644,ABG16144
AAS58645,ABG16145
AAS58646,ABG16146
AAS58647,ABG16148
AAS58648,ABG16149
AAS58649,ABG16150
AAS58650,ABG16151
AAS58651,ABG16152
AAS58652,ABG16153
AAS58653,ABG16154
AAS58654,ABG16155
AAS58655,ABG16156
AAS58656,ABG16157
AAS58657,ABG16158
AAS58658,ABG16159
AAS58659,ABG16160
AAS58660,ABG16161
AAS58661,ABG16162
AAS58662,ABG16163
AAS58663,ABG16164
AAS58664,ABG16165
AAS58665,ABG16166
AAS58666,ABG16167
AAS58667,ABG16168
AAS58668,ABG16169
AAS58669,ABG16170
AAS58670,ABG16171
AAS58671,ABG16172
AAS58672,ABG16173
AAS58682,ABG16175
AAS58683,ABG16227
AAS58684,ABG16176
AAS58686,ABG16177
AAS58688,ABG16178
AAS58690,ABG16180
AAS58691,ABG16181
AAS58692,ABG16182
AAS58693,ABG16228
AAS58694,ABG16183
AAS58695,ABG16184
AAS58697,ABG16187
AAS58698,ABG16230
AAS58699,ABG16188
AAS58700,ABG16189
AAS58701,ABG16190
AAS58702,ABG16191
AAS58703,ABG16192
AAS58704,ABG16193
AAS58705,ABG16194
AAS58708,ABG16196
AAS58709,ABG16197
AAS58710,ABG16201
AAS58712,ABG16203
AAS58713,ABG16204
AAS58714,ABG16231
AAS58715,ABG16205
AAS58716,ABG16206
AAS58717,ABG16232
AAS58756,ABG16208
AAS58755,ABG16209
AAS58754,ABG16233
AAS58751,ABG16210
AAS58750,ABG16211
AAS58749,ABG16213
AAS58748,ABG16214
AAS58747,ABG16215
AAS58745,ABG16216
AAS58744,ABG16217
AAS58743,ABG16218
AAS58741,ABG16234
AAS58740,ABG16219
AAS58739,ABG16235
AAS58736,ABG16220
AAS58735,ABG16221
AAS58734,ABG16222
AAS58733,ABG16223
AAS58731,ABG16224
AAS58729,ABG16225
AAS58728,ABG16226
AAS58539,ABG16324
