('AAS60567', 'ABX85497', 'ABG14855')
('AAS62882', 'ABX88616', 'ABG14226')
('AAS61904', 'ABX87129', 'ABG13277')
('AAS62735', 'ABX85962', 'ABG14323')
('AAS61643', 'ABX84952', 'ABG12775')
('ABG16041', 'ABX85823', 'AAS63969', 'AAS62350')
('ABG12021', 'ABX86435', 'AAS60851')
('AAS61249', 'ABX85200', 'ABG13035')
('ABG14735', 'ABX88301', 'AAS60672')
('ABG14810', 'ABX88517', 'AAS60662')
('AAS61656', 'ABX88418', 'ABG12788')
('ABG15545', 'ABX86146', 'AAS63815')
('ABG13752', 'ABX84947', 'AAS62436')
('AAS62989', 'ABX86509', 'ABG12490')
('AAS61995', 'ABX88182', 'ABG13852')
('ABG16315', 'ABX88744', 'AAS58532')
('AAS61482', 'ABX86789', 'ABG12613')
('AAS60860', 'ABX86920', 'ABG12012')
('ABG14947', 'ABX88370', 'AAS60870')
('AAS63517', 'ABX86631', 'ABG15779')
('ABG15057', 'ABX86506', 'AAS63566', 'ABG16095')
('AAS60909', 'ABX85634', 'ABG14906')
('AAS63679', 'ABX86929', 'ABG12408')
('AAS60667', 'ABX85599', 'ABG14814')
('AAS63244', 'ABX87709', 'ABG12002')
('AAS64113', 'ABX85577', 'ABG14985')
('AAS60432', 'ABX86896', 'ABG15279')
('ABG14308', 'ABX85138', 'AAS62748')
('AAS61114', 'ABX86505', 'ABG14528')
('ABG15957', 'ABX87480', 'AAS60712')
('AAS60793', 'ABX87687', 'ABG15878')
('ABG15574', 'ABX87252', 'AAS63273')
('AAS62481', 'ABX87499', 'ABG13920')
('AAS58702', 'ABX84861', 'ABG16191')
('ABG14639', 'ABX84930', 'AAS61013')
('AAS62043', 'ABX85102', 'ABG13798')
('AAS63261', 'ABX85892', 'ABG15563')
('AAS63852', 'ABX86033', 'ABG16030')
('ABG15011', 'ABX88278', 'AAS63223')
('ABG13184', 'ABX86937', 'AAS61787')
('AAS62174', 'ABX86047', 'ABG13481')
('AAS61371', 'ABX88470', 'ABG14473')
('AAS61460', 'ABX84941', 'ABG12634')
('ABG13884', 'ABX84984', 'AAS62453')
('AAS60344', 'ABX87882', 'ABG15440')
('ABG15605', 'ABX88590', 'AAS64062')
('ABG13952', 'ABX87609', 'AAS62511')
('ABG14379', 'ABX87730', 'AAS62687')
('ABG15766', 'ABX88192', 'AAS63504')
('AAS62557', 'ABX84975', 'ABG13999')
('AAS62296', 'ABX87534', 'ABG13615')
('AAS62886', 'ABX86368', 'ABG14230')
('ABG14166', 'ABX85218', 'AAS62828')
('ABG12547', 'ABX87984', 'AAS61305')
('ABG14112', 'ABX88253', 'AAS62776')
('AAS61739', 'ABX85801', 'ABG13236')
('ABG12404', 'ABX85424', 'AAS63683')
('ABG16295', 'ABX88709', 'AAS58592')
('ABG12915', 'ABX85809', 'AAS61164')
('AAS61061', 'ABX86829', 'ABG14592')
