Hit_ID,Query_ID
ABG11970,ABX85603
ABG11971,ABX85203
ABG11972,ABX86664
ABG11973,ABX86273
ABG11974,ABX86752
ABG11978,ABX86203
ABG11979,ABX87354
ABG11980,ABX86799
ABG11982,ABX88341
ABG11983,ABX85312
ABG15492,ABX87307
ABG15491,ABX86890
ABG15490,ABX88377
ABG15489,ABX87932
ABG15488,ABX85611
ABG15487,ABX85098
ABG15485,ABX87273
ABG15484,ABX86861
ABG15483,ABX88417
ABG15482,ABX87940
ABG15481,ABX85216
ABG15479,ABX85423
ABG15478,ABX86908
ABG15477,ABX86348
ABG15476,ABX85870
ABG15475,ABX87646
ABG15472,ABX88455
ABG15471,ABX88536
ABG15470,ABX85459
ABG15469,ABX85060
ABG15468,ABX86311
ABG15467,ABX86331
ABG15466,ABX85923
ABG15465,ABX88463
ABG15464,ABX87022
ABG15463,ABX87376
ABG15461,ABX87908
ABG15460,ABX88355
ABG15459,ABX87243
ABG15458,ABX86270
ABG15457,ABX86707
ABG15456,ABX85394
ABG15455,ABX87851
ABG15454,ABX88650
ABG15453,ABX86768
ABG15452,ABX85219
ABG15451,ABX88228
ABG15450,ABX88177
ABG15449,ABX87654
ABG15448,ABX87577
ABG15447,ABX87067
ABG15446,ABX84929
ABG15445,ABX85338
ABG15444,ABX86038
ABG15441,ABX87501
ABG15440,ABX87882
ABG15439,ABX88344
ABG15438,ABX85136
ABG15437,ABX85774
ABG15436,ABX86514
ABG15435,ABX86837
ABG15434,ABX87124
ABG15433,ABX87881
ABG15432,ABX86665
ABG15431,ABX86987
ABG15430,ABX87271
ABG15428,ABX87879
ABG15427,ABX88434
ABG15426,ABX84901
ABG15425,ABX86207
ABG15424,ABX86034
ABG15423,ABX86344
ABG15422,ABX87598
ABG15421,ABX87864
ABG15420,ABX86406
ABG15419,ABX86590
ABG15418,ABX87610
ABG15417,ABX87074
ABG15416,ABX88613
ABG15415,ABX87781
ABG15414,ABX87948
ABG15413,ABX85490
ABG15412,ABX85026
ABG15411,ABX85201
ABG15409,ABX86112
ABG15408,ABX87401
ABG15407,ABX87403
ABG12221,ABX88195
ABG12222,ABX85670
ABG12223,ABX85783
ABG12224,ABX85146
ABG12225,ABX85686
ABG12226,ABX85137
ABG12227,ABX86777
ABG12075,ABX86019
ABG12076,ABX88364
ABG12077,ABX87424
ABG12078,ABX87828
ABG12079,ABX87066
ABG12080,ABX86986
ABG12081,ABX87429
ABG12082,ABX87574
ABG15561,ABX86932
ABG15560,ABX85319
ABG12293,ABX86443
ABG12292,ABX88591
ABG12291,ABX87807
ABG12290,ABX85350
ABG12289,ABX85077
ABG12288,ABX86517
ABG12287,ABX87600
ABG12286,ABX85398
ABG12283,ABX87344
ABG12282,ABX86774
ABG12281,ABX88424
ABG12280,ABX85717
ABG12279,ABX85300
ABG12278,ABX86561
ABG12277,ABX86143
ABG12276,ABX87436
ABG12275,ABX87014
ABG12274,ABX87413
ABG12273,ABX85080
ABG12272,ABX88465
ABG12271,ABX86103
ABG12270,ABX87242
ABG12269,ABX88638
ABG12268,ABX88042
ABG12266,ABX85064
ABG12265,ABX87430
ABG12260,ABX86855
ABG12259,ABX86016
ABG12730,ABX86651
ABG12729,ABX85744
ABG12254,ABX85242
ABG12252,ABX86750
ABG12251,ABX87093
ABG12250,ABX86001
ABG12249,ABX84884
ABG12248,ABX88431
ABG12247,ABX86649
ABG12246,ABX85694
ABG12245,ABX87460
ABG12242,ABX88136
ABG12241,ABX85408
ABG12239,ABX85977
ABG12238,ABX86059
ABG15004,ABX86536
ABG15005,ABX87454
ABG15006,ABX86832
ABG15007,ABX87123
ABG15008,ABX87778
ABG15009,ABX88271
ABG15010,ABX87829
ABG15011,ABX88278
ABG15012,ABX87755
ABG15013,ABX85268
ABG15014,ABX86102
ABG15015,ABX88332
ABG15016,ABX85453
ABG15017,ABX85047
ABG15018,ABX85843
ABG15019,ABX85534
ABG15020,ABX86957
ABG15021,ABX86619
ABG15022,ABX87618
ABG15023,ABX87089
ABG15024,ABX88673
ABG15025,ABX88117
ABG15026,ABX87844
ABG15027,ABX87685
ABG15028,ABX85715
ABG15029,ABX85293
ABG15030,ABX86545
ABG15032,ABX86111
ABG15033,ABX86369
ABG15034,ABX85822
ABG15035,ABX87717
ABG15036,ABX87192
ABG15040,ABX84912
ABG15041,ABX88281
ABG15042,ABX88083
ABG15045,ABX86581
ABG15046,ABX84896
ABG15047,ABX86474
ABG15048,ABX86254
ABG15049,ABX87668
ABG15050,ABX86507
ABG15052,ABX86839
ABG15054,ABX85025
ABG15055,ABX86163
ABG15056,ABX85860
ABG15057,ABX86506
ABG15059,ABX88421
ABG15060,ABX87893
ABG15063,ABX86728
ABG15064,ABX85116
ABG15065,ABX85619
ABG15066,ABX87860
ABG15067,ABX87957
ABG15068,ABX85608
ABG15069,ABX85158
ABG15070,ABX86727
ABG15071,ABX86309
ABG15072,ABX85888
ABG15073,ABX87380
ABG15074,ABX87772
ABG15076,ABX85553
ABG15077,ABX85044
ABG15080,ABX88606
ABG15081,ABX88164
ABG15082,ABX85767
ABG15083,ABX84908
ABG15084,ABX86397
ABG15085,ABX87032
ABG15086,ABX88231
ABG15087,ABX87803
ABG15089,ABX85773
ABG15090,ABX85987
ABG15091,ABX86524
ABG15092,ABX87402
ABG15093,ABX88649
ABG15094,ABX88317
ABG15095,ABX86449
ABG15096,ABX87148
ABG15097,ABX87363
ABG15098,ABX88419
ABG15099,ABX85091
ABG15100,ABX85484
ABG15101,ABX86754
ABG15102,ABX87090
ABG15103,ABX86901
ABG15104,ABX87340
ABG15105,ABX86134
ABG15106,ABX85961
ABG15107,ABX87154
ABG15108,ABX88618
ABG15109,ABX87135
ABG15113,ABX86000
ABG15114,ABX86410
ABG15115,ABX84931
ABG15118,ABX88173
ABG15119,ABX84877
ABG15120,ABX88608
ABG14422,ABX85648
ABG14423,ABX85129
ABG14425,ABX88284
ABG14426,ABX87843
ABG14427,ABX87290
ABG14428,ABX86915
ABG14431,ABX86326
ABG14432,ABX84873
ABG14439,ABX87417
ABG14438,ABX86082
ABG14437,ABX88571
ABG14436,ABX88276
ABG14435,ABX85065
ABG14434,ABX86260
ABG14023,ABX86897
ABG14024,ABX87695
ABG14025,ABX86882
ABG14026,ABX87319
ABG14027,ABX87877
ABG14028,ABX86473
ABG14029,ABX86795
ABG14030,ABX86281
ABG14031,ABX86693
ABG14032,ABX85168
ABG14033,ABX85571
ABG14034,ABX88055
ABG14037,ABX88478
ABG14038,ABX88272
ABG14039,ABX87978
ABG14040,ABX86639
ABG14041,ABX86943
ABG14042,ABX85339
ABG14043,ABX87201
ABG14044,ABX85909
ABG14045,ABX86302
ABG14046,ABX85406
ABG14047,ABX88171
ABG14048,ABX87924
ABG14049,ABX87285
ABG14050,ABX86869
ABG14051,ABX86730
ABG14052,ABX86085
ABG14053,ABX85642
ABG14054,ABX85387
ABG14055,ABX88193
ABG14056,ABX87776
ABG14057,ABX88549
ABG14058,ABX88190
ABG14059,ABX87663
ABG14060,ABX86395
ABG14061,ABX85838
ABG14062,ABX85036
ABG14063,ABX88323
ABG14064,ABX87137
ABG14065,ABX85938
ABG14066,ABX85172
ABG14067,ABX85567
ABG14069,ABX86688
ABG14070,ABX86356
ABG14071,ABX86786
ABG14072,ABX87427
ABG14073,ABX87788
ABG14074,ABX87164
ABG14075,ABX86709
ABG14076,ABX85824
ABG14077,ABX86399
ABG14078,ABX86673
ABG13905,ABX87518
ABG13906,ABX88057
ABG13907,ABX88345
ABG14268,ABX86287
ABG14273,ABX86949
ABG14276,ABX87511
ABG14277,ABX88149
ABG14278,ABX86881
ABG14279,ABX85374
ABG14280,ABX86418
ABG14281,ABX87536
ABG14282,ABX86114
ABG14283,ABX87339
ABG14284,ABX87797
ABG14285,ABX85320
ABG14286,ABX85731
ABG14287,ABX86149
ABG14288,ABX86543
ABG14289,ABX87567
ABG14291,ABX87433
ABG14294,ABX87630
ABG14295,ABX88378
ABG14296,ABX86438
ABG14297,ABX86014
ABG14298,ABX85353
ABG14299,ABX84960
ABG14300,ABX88152
ABG14301,ABX85643
ABG14302,ABX86484
ABG14303,ABX85106
ABG14304,ABX87605
ABG14305,ABX86113
ABG14306,ABX88165
ABG14307,ABX88615
ABG14308,ABX85138
ABG14309,ABX87753
ABG14310,ABX85541
ABG14312,ABX85370
ABG14313,ABX88692
ABG14314,ABX86495
ABG15577,ABX88429
ABG15576,ABX88074
ABG15575,ABX87661
ABG15574,ABX87252
ABG15573,ABX86537
ABG15572,ABX86078
ABG15571,ABX86856
ABG15570,ABX86426
ABG15569,ABX88255
ABG15568,ABX87743
ABG15567,ABX85710
ABG15566,ABX85177
ABG15565,ABX85402
ABG15564,ABX84924
ABG15563,ABX85892
ABG12083,ABX86330
ABG12084,ABX85868
ABG12085,ABX87642
ABG12086,ABX88481
ABG12087,ABX87320
ABG12088,ABX88051
ABG12089,ABX87927
ABG12090,ABX85329
ABG12091,ABX88402
ABG12092,ABX87878
ABG12093,ABX85173
ABG12094,ABX88490
ABG12095,ABX85855
ABG12096,ABX86954
ABG12097,ABX86293
ABG12099,ABX87573
ABG12100,ABX88141
ABG12101,ABX86272
ABG12102,ABX87134
ABG12103,ABX88348
ABG12105,ABX85449
ABG12106,ABX85048
ABG12107,ABX86332
ABG12108,ABX85911
