AAS61939,ABX87162,ABG13314
AAS62775,ABX87643,ABG14111
ABG12874,ABX85937,AAS61196
ABG13771,ABX87459,AAS61969
AAS61475,ABX86864,ABG12620
ABG15608,ABX87960,AAS64059
ABG15908,ABX86779,AAS60759
ABG14934,ABX88035,AAS60883
AAS63768,ABX88077,ABG15499
ABG14283,ABX87339,AAS62932
ABG15454,ABX88650,AAS60332
AAS63163,ABX86397,ABG15084
ABG13515,ABX88027,AAS62206
ABG14712,ABX87658,AAS60940
ABG12561,ABX87769,AAS61291
ABG13036,ABX86305,AAS61248
ABG12676,ABX86917,AAS61423
AAS60359,ABX84901,ABG15426
AAS61585,ABX87856,ABG12712
AAS60413,ABX88303,ABG15297
AAS60930,ABX88305,ABG14721
AAS62001,ABX87692,ABG13846
ABG12052,ABX88025,AAS60820
AAS63978,ABX85139,ABG15689
ABG14524,ABX85668,AAS61123
AAS58749,ABX84840,ABG16213
AAS61782,ABX87543,ABG13189
ABG14587,ABX88385,AAS61066
AAS61984,ABX86520,ABG13863
AAS63769,ABX86808,ABG15500
ABG14360,ABX87521,AAS62669
AAS61403,ABX87720,ABG14510
AAS62687,ABX87730,ABG14379
ABG15223,ABX88384,AAS60485
AAS61305,ABX87984,ABG12547
AAS60702,ABX85357,ABG15967
ABG13303,ABX87665,AAS61927
ABG13187,ABX87919,AAS61784
ABG16254,ABX88706,AAS58547
ABG14788,ABX86132,AAS60641
ABG15903,ABX84905,AAS60763
AAS63038,ABX85580,ABG12436
AAS63760,ABX88589,ABG12322
AAS60897,ABX86098,ABG14920
ABG14241,ABX86333,AAS62896
ABG13830,ABX87278,AAS62014
AAS62838,ABX85551,ABG14176
ABG14248,ABX86464,AAS62900
ABG13805,ABX87617,AAS62037
ABG15982,ABX88382,AAS60687
AAS60595,ABX85119,ABG14740
AAS60689,ABX85568,ABG15980
AAS62763,ABX87630,ABG14294
AAS61708,ABX86685,ABG12846
ABG15274,ABX86700,AAS60437
ABG12047,ABX87157,AAS60825
ABG14032,ABX85168,AAS62593
AAS61691,ABX85198,ABG12828
ABG12450,ABX86457,AAS63054
ABG12681,ABX87051,AAS61418
ABG14448,ABX88334,AAS61346
AAS63900,ABX86918,ABG15817
AAS60911,ABX85321,ABG14904
ABG15022,ABX87618,AAS63216
ABG15280,ABX87228,AAS60431
AAS62936,ABX86149,ABG14287
ABG15659,ABX86362,AAS64004
ABG14437,ABX88571,AAS61335
AAS62989,ABX86509,ABG12490
AAS62296,ABX87534,ABG13615
AAS63873,ABX87999,ABG16010
AAS64164,ABX86421,ABG16124
ABG14309,ABX87753,AAS62747
AAS60904,ABX87336,ABG14914
AAS62793,ABX85239,ABG14129
ABG12024,ABX88510,AAS60848
ABG13292,ABX88547,AAS61916
AAS61540,ABX86934,ABG12979
ABG15706,ABX87292,AAS63960
ABG14378,ABX88285,AAS62686
ABG13914,ABX87361,AAS62476
ABG15540,ABX87696,AAS63810
ABG15074,ABX87772,AAS63173
ABG14371,ABX88690,AAS62678
ABG13712,ABX88092,AAS62395
ABG13077,ABX87959,AAS61716
ABG14064,ABX87137,AAS62624
ABG13609,ABX85433,AAS62291
ABG15783,ABX85014,AAS63521
ABG15418,ABX87610,AAS60368
AAS61312,ABX87675,ABG12541
ABG12878,ABX87735,AAS61194
AAS63817,ABX85467,ABG15547
AAS58755,ABX84782,ABG16209
ABG12508,ABX86339,AAS62970
ABG14489,ABX86152,AAS61383
ABG12066,ABX88360,AAS63293
AAS62859,ABX86321,ABG14200
AAS62855,ABX88175,ABG14196
AAS63026,ABX88211,ABG12424
AAS62874,ABX86424,ABG14218
ABG14666,ABX86373,AAS60990
AAS62085,ABX88389,ABG13368
ABG15060,ABX87893,AAS63185
AAS62704,ABX84889,ABG14400
AAS61744,ABX85933,ABG13230
AAS62848,ABX86336,ABG14186
AAS63767,ABX87884,ABG15498
ABG12392,ABX86828,AAS63696
AAS62584,ABX86897,ABG14023
AAS58550,ABX88726,ABG16256
AAS60408,ABX86007,ABG15302
AAS60374,ABX85026,ABG15412
AAS62995,ABX84943,ABG12482
ABG14107,ABX85455,AAS58619
ABG14308,ABX85138,AAS62748
AAS61647,ABX86602,ABG12779
AAS62603,ABX85909,ABG14044
ABG13864,ABX85963,AAS61983
ABG12856,ABX85736,AAS61214
AAS62169,ABX87209,ABG13476
ABG12019,ABX84870,AAS60853
AAS60727,ABX87716,ABG15943
AAS61201,ABX85697,ABG12869
ABG15175,ABX85600,AAS63077
AAS63410,ABX86067,ABG12186
ABG13617,ABX85382,AAS62298
AAS63758,ABX85536,ABG12324
ABG15772,ABX85147,AAS63510
ABG15441,ABX87501,AAS60343
AAS60785,ABX85770,ABG15884
AAS63781,ABX86262,ABG15512
ABG14264,ABX86783,AAS62914
ABG15900,ABX85901,AAS60767
ABG14333,ABX85363,AAS62724
AAS63227,ABX87123,ABG15007
AAS62870,ABX88063,ABG14214
ABG12719,ABX85915,AAS61592
AAS60748,ABX88296,ABG15923
AAS63087,ABX88068,ABG15165
ABG13933,ABX88039,AAS62496
ABG13566,ABX86497,AAS62255
ABG12931,ABX85441,AAS61148
ABG16167,ABX84829,AAS58666
AAS61910,ABX85254,ABG13287
AAS61139,ABX87568,ABG12944
AAS63567,ABX85217,ABG16096
ABG15710,ABX85654,AAS63956
ABG14149,ABX86999,AAS62812
ABG12827,ABX85609,AAS61690
ABG16296,ABX88715,AAS58593
AAS61165,ABX84991,ABG12913
ABG12078,ABX87828,AAS63305
AAS62213,ABX85701,ABG13524
ABG15471,ABX88536,AAS60315
ABG14238,ABX87509,AAS62892
AAS63048,ABX87612,ABG12446
AAS62964,ABX85850,ABG12514
AAS62061,ABX87834,ABG13343
ABG14070,ABX86356,AAS62630
ABG12952,ABX85581,AAS61564
ABG12921,ABX85470,AAS61158
ABG12202,ABX86037,AAS63426
ABG14085,ABX88090,AAS62644
AAS61408,ABX87678,ABG14516
ABG12469,ABX87649,AAS63005
ABG13632,ABX87375,AAS62315
AAS61326,ABX87843,ABG14426
AAS61560,ABX86030,ABG12957
ABG15030,ABX86545,AAS63208
ABG16225,ABX84856,AAS58729
AAS60842,ABX86922,ABG12030
AAS60460,ABX86671,ABG15250
AAS63015,ABX86633,ABG12413
ABG14428,ABX86915,AAS61329
ABG13372,ABX86566,AAS62089
ABG14168,ABX86308,AAS62830
AAS60876,ABX85440,ABG14941
AAS61340,ABX86125,ABG14442
AAS63930,ABX86775,ABG15847
AAS62878,ABX88160,ABG14222
AAS63507,ABX85336,ABG15769
AAS61589,ABX85753,ABG12716
ABG15097,ABX87363,AAS63149
AAS62886,ABX86368,ABG14230
ABG15105,ABX86134,AAS63141
ABG15642,ABX85391,AAS64024
ABG15033,ABX86369,AAS63205
ABG15099,ABX85091,AAS63147
ABG13487,ABX86316,AAS62180
ABG15469,ABX85060,AAS60317
AAS63641,ABX86143,ABG12277
ABG15203,ABX85211,AAS60506
AAS62114,ABX87416,ABG13402
ABG15994,ABX85327,AAS60675
AAS61298,ABX84895,ABG12554
AAS62922,ABX86949,ABG14273
ABG13205,ABX87520,AAS61769
ABG12840,ABX85110,AAS61703
ABG14381,ABX88408,AAS62688
AAS61447,ABX85520,ABG12648
ABG12161,ABX86268,AAS63386
ABG13008,ABX88357,AAS61275
ABG15159,ABX84750,AAS63094
ABG12382,ABX86698,AAS63705
AAS61169,ABX86938,ABG12909
ABG16037,ABX86428,AAS63844
AAS63933,ABX87371,ABG15850
AAS61058,ABX85012,ABG14595
ABG13785,ABX88106,AAS61955
ABG11996,ABX87145,AAS63250
AAS61205,ABX87483,ABG12865
ABG13249,ABX85360,AAS61877
AAS58531,ABX88749,ABG16332
AAS62643,ABX85450,ABG14084
AAS58653,ABX84837,ABG16154
AAS61341,ABX87845,ABG14443
AAS60840,ABX87832,ABG12032
AAS61901,ABX84925,ABG13274
AAS61465,ABX86926,ABG12629
ABG13343,ABX87834,AAS62061
AAS62164,ABX88324,ABG13471
AAS61338,ABX87973,ABG14440
AAS62349,ABX88339,ABG13668
ABG13638,ABX85665,AAS62319
AAS62616,ABX88549,ABG14057
AAS62094,ABX87478,ABG13379
AAS62562,ABX84956,ABG14004
AAS63437,ABX85439,ABG12213
AAS61078,ABX86770,ABG14572
ABG14165,ABX85771,AAS62827
AAS60574,ABX86646,ABG14847
ABG14866,ABX86748,AAS60557
ABG15140,ABX88155,AAS63111
ABG13183,ABX87440,AAS61788
ABG15266,ABX86723,AAS60445
ABG12115,ABX85864,AAS63341
AAS60771,ABX88093,ABG15896
ABG13812,ABX85410,AAS62031
AAS60398,ABX85033,ABG12235
AAS63028,ABX87490,ABG12426
AAS60815,ABX87703,ABG12055
ABG14042,ABX85339,AAS62601
ABG12029,ABX87464,AAS60843
ABG12787,ABX86816,AAS61655
ABG15130,ABX85308,AAS63121
AAS62229,ABX84927,ABG13540
ABG15821,ABX85795,AAS63904
ABG12118,ABX85005,AAS63344
ABG15717,ABX88078,AAS63948
AAS61855,ABX85164,ABG13110
ABG12339,ABX85513,AAS63745
ABG13629,ABX85676,AAS62311
AAS60684,ABX87008,ABG15985
ABG13272,ABX85628,AAS61899
ABG13349,ABX86977,AAS62067
ABG14678,ABX87550,AAS60975
ABG14611,ABX88592,AAS61042
ABG12071,ABX86491,AAS63298
AAS62389,ABX86482,ABG13705
ABG14865,ABX85096,AAS60558
ABG12156,ABX85552,AAS63381
ABG14874,ABX87189,AAS60551
ABG13701,ABX88238,AAS62384
ABG13648,ABX88522,AAS62328
ABG12143,ABX87395,AAS63367
AAS63706,ABX87180,ABG12381
AAS63636,ABX88465,ABG12272
AAS62837,ABX85540,ABG14174
AAS62910,ABX87406,ABG14259
AAS63992,ABX87080,ABG15673
AAS61041,ABX85261,ABG14612
ABG16275,ABX88727,AAS58572
AAS64111,ABX87982,ABG14987
AAS63967,ABX86992,ABG15700
ABG13739,ABX85229,AAS62422
AAS61799,ABX86771,ABG13170
AAS62401,ABX85930,ABG13717
ABG13917,ABX87259,AAS62478
ABG16039,ABX85565,AAS63842
ABG12645,ABX86054,AAS61450
ABG13827,ABX86846,AAS62016
ABG14260,ABX85062,AAS62911
AAS63920,ABX88528,ABG15837
ABG16051,ABX86746,AAS63831
ABG15192,ABX87188,AAS60517
ABG12873,ABX88646,AAS61197
ABG15976,ABX85281,AAS60693
AAS62092,ABX87439,ABG13377
AAS62767,ABX86128,ABG14102
AAS63354,ABX88358,ABG12128
AAS61014,ABX88125,ABG14638
ABG12792,ABX87236,AAS61660
ABG13978,ABX86740,AAS62538
ABG15251,ABX86245,AAS60459
AAS61299,ABX86490,ABG12553
AAS58559,ABX88737,ABG16263
AAS60553,ABX85756,ABG14872
ABG14757,ABX86209,AAS60611
ABG15805,ABX88309,AAS63889
ABG13315,ABX87697,AAS61940
AAS62071,ABX86041,ABG13353
ABG12457,ABX85519,AAS63062
AAS63096,ABX87168,ABG15156
ABG16022,ABX88573,AAS63861
AAS61676,ABX86910,ABG12810
ABG15555,ABX88071,AAS63824
ABG14239,ABX85981,AAS62893
AAS61471,ABX87964,ABG12624
ABG12525,ABX87557,AAS62954
AAS61907,ABX86985,ABG13284
ABG15625,ABX85554,AAS64042
AAS64140,ABX85419,ABG16100
AAS63876,ABX85601,ABG16007
AAS61473,ABX87357,ABG12622
