Hit_ID,Query_ID
tr|L0HK31|L0HK31_ACIS0,sp|A8A9W1|AROC_IGNH4
tr|L0HPB4|L0HPB4_ACIS0,sp|A8A8X8|SYA_IGNH4
tr|L0HMP8|L0HMP8_ACIS0,sp|A8A8H5|PYRI_IGNH4
tr|L0HI00|L0HI00_ACIS0,sp|A8A953|RS24_IGNH4
tr|L0HME5|L0HME5_ACIS0,sp|A8AB83|RADA_IGNH4
tr|L0HLQ0|L0HLQ0_ACIS0,sp|A8AA22|RNP1_IGNH4
tr|L0HMX7|L0HMX7_ACIS0,sp|A8AC24|RFCL_IGNH4
tr|L0HNP8|L0HNP8_ACIS0,sp|A8ACD3|RL24_IGNH4
tr|L0HLP4|L0HLP4_ACIS0,sp|A8AC70|RL2_IGNH4
tr|L0HK98|L0HK98_ACIS0,sp|A8AAK8|RL21_IGNH4
tr|L0HJR0|L0HJR0_ACIS0,sp|A8ACD7|RS8_IGNH4
tr|L0HNQ8|L0HNQ8_ACIS0,sp|A8ABZ9|RL30_IGNH4
tr|L0HQB2|L0HQB2_ACIS0,sp|A8AC98|APGM_IGNH4
tr|L0HMJ3|L0HMJ3_ACIS0,sp|A8A8W1|IXTPA_IGNH4
tr|L0HMZ0|L0HMZ0_ACIS0,sp|A8AAC1|FEN_IGNH4
tr|L0HJS3|L0HJS3_ACIS0,sp|A8A948|KAE1_IGNH4
tr|L0HJD0|L0HJD0_ACIS0,sp|A8ACA7|EF2_IGNH4
tr|L0HGN0|L0HGN0_ACIS0,sp|A8ABK3|IF5A_IGNH4
tr|L0HI26|L0HI26_ACIS0,sp|A8ABP9|G1PDH_IGNH4
tr|L0HJQ3|L0HJQ3_ACIS0,sp|A8ACD2|RL14_IGNH4
tr|L0HMW2|L0HMW2_ACIS0,sp|A8ABE2|NTPTH_IGNH4
tr|L0HNQ3|L0HNQ3_ACIS0,sp|A8AC04|RL6_IGNH4
tr|L0HHV2|L0HHV2_ACIS0,sp|A8AC69|GUAAA_IGNH4
tr|L0HKV6|L0HKV6_ACIS0,sp|A8A8D3|IF2P_IGNH4
tr|L0HNX1|L0HNX1_ACIS0,sp|A8ACB1|OTC_IGNH4
tr|L0HPL8|L0HPL8_ACIS0,sp|A8AAQ5|HYPA_IGNH4
tr|L0HNF7|L0HNF7_ACIS0,sp|A8AAJ4|NOP10_IGNH4
tr|L0HM83|L0HM83_ACIS0,sp|A8AAB6|ARGDC_IGNH4
tr|L0HL06|L0HL06_ACIS0,sp|A8A9B8|NFI_IGNH4
tr|L0HNR2|L0HNR2_ACIS0,sp|A8AAI6|KCY_IGNH4
tr|L0HPD5|L0HPD5_ACIS0,sp|A8AB61|LEU1_IGNH4
tr|L0HJP0|L0HJP0_ACIS0,sp|A8AAN4|IDI2_IGNH4
tr|L0HQ47|L0HQ47_ACIS0,sp|A8AAF5|NDK_IGNH4
tr|L0HLE8|L0HLE8_ACIS0,sp|A8AB26|NADM_IGNH4
tr|L0HMV0|L0HMV0_ACIS0,sp|A8AAR8|RL40_IGNH4
tr|L0HMW5|L0HMW5_ACIS0,sp|A8AAG3|PYRH_IGNH4
tr|L0HN90|L0HN90_ACIS0,sp|A8AB58|PSB2_IGNH4
tr|L0HPF6|L0HPF6_ACIS0,sp|A8ACD4|RS4E_IGNH4
tr|L0HJ28|L0HJ28_ACIS0,sp|A8ABQ7|RL10_IGNH4
tr|L0HJQ0|L0HJQ0_ACIS0,sp|A8AA19|RL22_IGNH4
tr|L0HME9|L0HME9_ACIS0,sp|A8AC01|RL18_IGNH4
tr|L0HNM6|L0HNM6_ACIS0,sp|A8ABB4|RNZ_IGNH4
tr|L0HLP9|L0HLP9_ACIS0,sp|A8ABM7|DTDA_IGNH4
tr|L0HKC6|L0HKC6_ACIS0,sp|A8A9E4|FBPAP_IGNH4
tr|L0HGY3|L0HGY3_ACIS0,sp|A8A9U0|EF1B_IGNH4
tr|L0HHJ1|L0HHJ1_ACIS0,sp|A8A9K6|GGGPS_IGNH4
tr|L0HMU0|L0HMU0_ACIS0,sp|A8A8X0|RS2_IGNH4
