Hit_ID,Query_ID
sp|E3GW42|HPRT_METFV,sp|F8AJL1|HPRT_METOI
tr|E3GY68|E3GY68_METFV,tr|F8ANZ7|F8ANZ7_METOI
tr|E3GYC0|E3GYC0_METFV,tr|F8AMX5|F8AMX5_METOI
tr|E3GX39|E3GX39_METFV,tr|F8AK43|F8AK43_METOI
tr|E3GWX9|E3GWX9_METFV,tr|F8AL01|F8AL01_METOI
tr|E3GZH2|E3GZH2_METFV,tr|F8ANW4|F8ANW4_METOI
tr|E3GX05|E3GX05_METFV,tr|F8ANM8|F8ANM8_METOI
tr|E3GYV6|E3GYV6_METFV,tr|F8ANF3|F8ANF3_METOI
tr|E3GY23|E3GY23_METFV,tr|F8AKH0|F8AKH0_METOI
tr|E3GYM3|E3GYM3_METFV,tr|F8AKH4|F8AKH4_METOI
tr|E3GW53|E3GW53_METFV,tr|F8AKR5|F8AKR5_METOI
tr|E3GWR8|E3GWR8_METFV,tr|F8ALC1|F8ALC1_METOI
tr|E3GW74|E3GW74_METFV,tr|F8AK19|F8AK19_METOI
tr|E3GWZ8|E3GWZ8_METFV,tr|F8AK74|F8AK74_METOI
tr|E3GYC2|E3GYC2_METFV,tr|F8AMW4|F8AMW4_METOI
tr|E3GYX7|E3GYX7_METFV,tr|F8ANK8|F8ANK8_METOI
tr|E3GW07|E3GW07_METFV,tr|F8AME6|F8AME6_METOI
tr|E3GWW7|E3GWW7_METFV,tr|F8ANP1|F8ANP1_METOI
tr|E3GYM9|E3GYM9_METFV,tr|F8AMF3|F8AMF3_METOI
tr|E3GXN5|E3GXN5_METFV,tr|F8AMS8|F8AMS8_METOI
sp|Q49172|MCRW_METFV,tr|F8AMU3|F8AMU3_METOI
tr|E3GZE9|E3GZE9_METFV,tr|F8AN63|F8AN63_METOI
tr|E3GX88|E3GX88_METFV,tr|F8AP10|F8AP10_METOI
tr|E3GYT5|E3GYT5_METFV,tr|F8AKX2|F8AKX2_METOI
tr|E3GWV5|E3GWV5_METFV,tr|F8AMB8|F8AMB8_METOI
tr|E3GXH3|E3GXH3_METFV,tr|F8AMD3|F8AMD3_METOI
tr|E3GYR9|E3GYR9_METFV,tr|F8AL34|F8AL34_METOI
tr|E3GVZ5|E3GVZ5_METFV,tr|F8ALR4|F8ALR4_METOI
tr|E3GWB6|E3GWB6_METFV,tr|F8AK84|F8AK84_METOI
tr|E3GYL3|E3GYL3_METFV,tr|F8AMT4|F8AMT4_METOI
tr|E3GYQ9|E3GYQ9_METFV,tr|F8ANQ8|F8ANQ8_METOI
tr|E3GXS8|E3GXS8_METFV,tr|F8AJX6|F8AJX6_METOI
tr|E3GWR4|E3GWR4_METFV,tr|F8AL17|F8AL17_METOI
tr|E3GX15|E3GX15_METFV,tr|F8ALM5|F8ALM5_METOI
tr|E3GWZ3|E3GWZ3_METFV,tr|F8ANS6|F8ANS6_METOI
tr|E3GZ88|E3GZ88_METFV,tr|F8ANR3|F8ANR3_METOI
tr|E3GY32|E3GY32_METFV,tr|F8AJI9|F8AJI9_METOI
tr|E3GW17|E3GW17_METFV,tr|F8AJW1|F8AJW1_METOI
tr|E3GZI4|E3GZI4_METFV,tr|F8AK83|F8AK83_METOI
tr|E3GYA9|E3GYA9_METFV,tr|F8AL56|F8AL56_METOI
tr|E3GXW0|E3GXW0_METFV,tr|F8AKK1|F8AKK1_METOI
tr|E3GYD2|E3GYD2_METFV,tr|F8AK55|F8AK55_METOI
tr|E3GWH5|E3GWH5_METFV,tr|F8AJP3|F8AJP3_METOI
tr|E3GXZ0|E3GXZ0_METFV,tr|F8AKC5|F8AKC5_METOI
tr|E3GZ72|E3GZ72_METFV,tr|F8ALS1|F8ALS1_METOI
tr|E3GWA5|E3GWA5_METFV,tr|F8AL38|F8AL38_METOI
tr|E3GZ94|E3GZ94_METFV,tr|F8ANR6|F8ANR6_METOI
tr|E3GY57|E3GY57_METFV,tr|F8ANF1|F8ANF1_METOI
tr|E3GXD6|E3GXD6_METFV,tr|F8AMW1|F8AMW1_METOI
tr|E3GYU5|E3GYU5_METFV,tr|F8AJP0|F8AJP0_METOI
tr|E3GYE3|E3GYE3_METFV,tr|F8AM35|F8AM35_METOI
tr|E3GWJ0|E3GWJ0_METFV,tr|F8ALD9|F8ALD9_METOI
tr|E3GXT4|E3GXT4_METFV,tr|F8AN31|F8AN31_METOI
tr|E3GWK4|E3GWK4_METFV,tr|F8ANK6|F8ANK6_METOI
tr|E3GWX0|E3GWX0_METFV,tr|F8ANE1|F8ANE1_METOI
tr|E3GXS3|E3GXS3_METFV,tr|F8AKW4|F8AKW4_METOI
tr|E3GW93|E3GW93_METFV,tr|F8ANH9|F8ANH9_METOI
tr|E3GXH1|E3GXH1_METFV,tr|F8ALB2|F8ALB2_METOI
tr|E3GZ78|E3GZ78_METFV,tr|F8ALX1|F8ALX1_METOI
tr|E3GX51|E3GX51_METFV,tr|F8AL40|F8AL40_METOI
tr|E3GX19|E3GX19_METFV,tr|F8AKJ2|F8AKJ2_METOI
tr|E3GXS7|E3GXS7_METFV,tr|F8AKP7|F8AKP7_METOI
tr|E3GZH7|E3GZH7_METFV,tr|F8AML5|F8AML5_METOI
tr|E3GW87|E3GW87_METFV,tr|F8ANA4|F8ANA4_METOI
tr|E3GYT3|E3GYT3_METFV,tr|F8ALN2|F8ALN2_METOI
tr|E3GYS3|E3GYS3_METFV,tr|F8AJV4|F8AJV4_METOI
tr|E3GXB4|E3GXB4_METFV,tr|F8ALD2|F8ALD2_METOI
tr|E3GW52|E3GW52_METFV,tr|F8AKR4|F8AKR4_METOI
tr|E3GZC5|E3GZC5_METFV,tr|F8AM64|F8AM64_METOI
tr|E3GY65|E3GY65_METFV,tr|F8AMH0|F8AMH0_METOI
tr|E3GYX3|E3GYX3_METFV,tr|F8AL98|F8AL98_METOI
tr|E3GX87|E3GX87_METFV,tr|F8ALX4|F8ALX4_METOI
tr|E3GYP9|E3GYP9_METFV,tr|F8AKC6|F8AKC6_METOI
tr|E3GWN8|E3GWN8_METFV,tr|F8ALG7|F8ALG7_METOI
tr|E3GY31|E3GY31_METFV,tr|F8ANC8|F8ANC8_METOI
tr|E3GYA5|E3GYA5_METFV,tr|F8ALM3|F8ALM3_METOI
