Hit_ID,Query_ID
AAS60282,ABX85603
AAS60283,ABX85203
AAS60284,ABX86664
AAS60285,ABX86273
AAS60286,ABX86752
AAS60287,ABX86203
AAS60288,ABX87354
AAS60289,ABX86799
AAS60291,ABX88341
AAS60292,ABX85312
AAS60294,ABX87307
AAS60295,ABX86890
AAS60296,ABX88377
AAS60297,ABX87932
AAS60298,ABX85611
AAS60299,ABX85098
AAS60301,ABX87273
AAS60302,ABX86861
AAS60303,ABX88417
AAS60304,ABX87940
AAS60305,ABX85216
AAS60306,ABX85423
AAS60308,ABX86908
AAS60309,ABX86348
AAS60310,ABX85870
AAS60311,ABX87646
AAS60314,ABX88455
AAS60315,ABX88536
AAS60316,ABX85459
AAS60317,ABX85060
AAS60318,ABX86311
AAS60319,ABX86331
AAS60320,ABX85923
AAS60321,ABX88463
AAS60322,ABX87022
AAS60323,ABX87376
AAS60325,ABX87908
AAS60326,ABX88355
AAS60327,ABX87243
AAS60328,ABX86270
AAS60329,ABX86707
AAS60330,ABX85394
AAS60331,ABX87851
AAS60332,ABX88650
AAS60333,ABX86768
AAS60334,ABX85219
AAS60335,ABX88228
AAS60336,ABX88177
AAS60337,ABX87654
AAS60338,ABX87577
AAS60339,ABX87067
AAS60340,ABX84929
AAS60341,ABX85338
AAS60342,ABX86038
AAS60343,ABX87501
AAS60344,ABX87882
AAS60345,ABX88344
AAS60346,ABX85136
AAS60347,ABX85774
AAS60348,ABX86514
AAS60350,ABX86837
AAS60351,ABX87124
AAS60352,ABX87881
AAS60353,ABX86665
AAS60354,ABX86987
AAS60355,ABX87271
AAS60356,ABX87879
AAS60357,ABX88434
AAS60359,ABX84901
AAS60360,ABX86207
AAS60361,ABX86034
AAS60362,ABX86344
AAS60363,ABX87598
AAS60366,ABX86406
AAS60367,ABX86590
AAS60368,ABX87610
AAS60369,ABX87074
AAS60370,ABX88613
AAS60371,ABX87781
AAS60372,ABX87948
AAS60373,ABX85490
AAS60374,ABX85026
AAS60376,ABX85201
AAS60378,ABX86533
AAS60379,ABX86112
AAS60380,ABX87401
AAS60381,ABX87403
AAS60382,ABX86970
AAS60383,ABX88195
AAS60384,ABX85670
AAS60385,ABX85783
AAS60386,ABX85146
AAS60387,ABX85686
AAS60388,ABX85137
AAS60389,ABX86777
AAS63302,ABX86019
AAS63303,ABX88364
AAS63304,ABX87424
