Hit_ID,Query_ID
sp|A8A9B8|NFI_IGNH4,tr|H9ZZS4|H9ZZS4_FERFK
tr|A8AC95|A8AC95_IGNH4,tr|H9ZZN5|H9ZZN5_FERFK
tr|A8AAA8|A8AAA8_IGNH4,tr|I0A0M5|I0A0M5_FERFK
tr|A8A905|A8A905_IGNH4,tr|I0A081|I0A081_FERFK
tr|A8AAG5|A8AAG5_IGNH4,tr|I0A1C8|I0A1C8_FERFK
tr|A8AAU4|A8AAU4_IGNH4,tr|H9ZZG5|H9ZZG5_FERFK
tr|A8ACE1|A8ACE1_IGNH4,tr|I0A2J9|I0A2J9_FERFK
tr|A8ACC8|A8ACC8_IGNH4,tr|I0A1W0|I0A1W0_FERFK
tr|A8AA50|A8AA50_IGNH4,tr|I0A0G7|I0A0G7_FERFK
tr|A8AC08|A8AC08_IGNH4,tr|I0A2H0|I0A2H0_FERFK
tr|A8ABB8|A8ABB8_IGNH4,tr|I0A1Y9|I0A1Y9_FERFK
tr|A8ABR1|A8ABR1_IGNH4,tr|I0A2T3|I0A2T3_FERFK
tr|A8AAK5|A8AAK5_IGNH4,tr|I0A099|I0A099_FERFK
tr|A8AAL3|A8AAL3_IGNH4,tr|I0A016|I0A016_FERFK
tr|A8A956|A8A956_IGNH4,tr|I0A091|I0A091_FERFK
sp|A8AAA9|VATB_IGNH4,tr|I0A1T2|I0A1T2_FERFK
tr|A8AA33|A8AA33_IGNH4,tr|I0A265|I0A265_FERFK
tr|A8AAS4|A8AAS4_IGNH4,tr|I0A0P4|I0A0P4_FERFK
tr|A8A8R1|A8A8R1_IGNH4,tr|I0A2E9|I0A2E9_FERFK
tr|A8A930|A8A930_IGNH4,tr|I0A0S9|I0A0S9_FERFK
tr|A8A9A8|A8A9A8_IGNH4,tr|H9ZZB5|H9ZZB5_FERFK
tr|A8A9P3|A8A9P3_IGNH4,tr|H9ZZB2|H9ZZB2_FERFK
tr|A8AB79|A8AB79_IGNH4,tr|I0A1D1|I0A1D1_FERFK
sp|A8AAU0|RS15_IGNH4,tr|I0A2N6|I0A2N6_FERFK
tr|A8A8P1|A8A8P1_IGNH4,tr|I0A142|I0A142_FERFK
sp|A8A990|TIAS_IGNH4,tr|I0A1D8|I0A1D8_FERFK
tr|A8A9F8|A8A9F8_IGNH4,tr|I0A003|I0A003_FERFK
tr|A8AA98|A8AA98_IGNH4,tr|I0A2S6|I0A2S6_FERFK
tr|A8AAT5|A8AAT5_IGNH4,tr|I0A275|I0A275_FERFK
sp|A8AA18|RS19_IGNH4,tr|I0A0J9|I0A0J9_FERFK
tr|A8AB44|A8AB44_IGNH4,tr|I0A0K4|I0A0K4_FERFK
tr|A8AA63|A8AA63_IGNH4,tr|I0A299|I0A299_FERFK
tr|A8AAE5|A8AAE5_IGNH4,tr|H9ZZE1|H9ZZE1_FERFK
tr|A8A8I8|A8A8I8_IGNH4,tr|H9ZZX1|H9ZZX1_FERFK
tr|A8AAM4|A8AAM4_IGNH4,tr|I0A2X2|I0A2X2_FERFK
tr|A8AA12|A8AA12_IGNH4,tr|I0A083|I0A083_FERFK
tr|A8ABB9|A8ABB9_IGNH4,tr|I0A306|I0A306_FERFK
sp|A8A8H1|CREN7_IGNH4,tr|I0A1C4|I0A1C4_FERFK
tr|A8A9S2|A8A9S2_IGNH4,tr|I0A178|I0A178_FERFK
sp|A8AB26|NADM_IGNH4,tr|I0A190|I0A190_FERFK
tr|A8ABQ6|A8ABQ6_IGNH4,tr|I0A2Q4|I0A2Q4_FERFK
tr|A8AAA0|A8AAA0_IGNH4,tr|I0A126|I0A126_FERFK
tr|A8AAT9|A8AAT9_IGNH4,tr|I0A1R6|I0A1R6_FERFK
sp|A8ABP9|G1PDH_IGNH4,tr|I0A1G2|I0A1G2_FERFK
tr|A8AA91|A8AA91_IGNH4,tr|H9ZZG0|H9ZZG0_FERFK
tr|A8ABI1|A8ABI1_IGNH4,tr|I0A273|I0A273_FERFK
tr|A8AA81|A8AA81_IGNH4,tr|I0A0T5|I0A0T5_FERFK
tr|A8A902|A8A902_IGNH4,tr|I0A2F7|I0A2F7_FERFK
tr|A8A8I3|A8A8I3_IGNH4,tr|I0A097|I0A097_FERFK
tr|A8A986|A8A986_IGNH4,tr|I0A317|I0A317_FERFK
tr|A8AC30|A8AC30_IGNH4,tr|I0A1W3|I0A1W3_FERFK
sp|A8AB68|SYC_IGNH4,tr|I0A154|I0A154_FERFK
tr|A8A8W9|A8A8W9_IGNH4,tr|I0A0E3|I0A0E3_FERFK
tr|A8AA10|A8AA10_IGNH4,tr|I0A2D5|I0A2D5_FERFK
tr|A8ABR3|A8ABR3_IGNH4,tr|I0A173|I0A173_FERFK
tr|A8AC93|A8AC93_IGNH4,tr|I0A0A3|I0A0A3_FERFK
tr|A8AC51|A8AC51_IGNH4,tr|I0A257|I0A257_FERFK
tr|A8AA16|A8AA16_IGNH4,tr|I0A2K5|I0A2K5_FERFK
tr|A8ABJ0|A8ABJ0_IGNH4,tr|H9ZZI4|H9ZZI4_FERFK
tr|A8ABD6|A8ABD6_IGNH4,tr|I0A291|I0A291_FERFK
tr|A8ABS4|A8ABS4_IGNH4,tr|I0A0X6|I0A0X6_FERFK
sp|A8A935|PELO_IGNH4,tr|I0A1Y6|I0A1Y6_FERFK
tr|A8ABS6|A8ABS6_IGNH4,tr|H9ZZM9|H9ZZM9_FERFK
tr|A8A934|A8A934_IGNH4,tr|I0A1X2|I0A1X2_FERFK
tr|A8A8L7|A8A8L7_IGNH4,tr|I0A047|I0A047_FERFK
tr|A8AB64|A8AB64_IGNH4,tr|I0A148|I0A148_FERFK
sp|A8AAB6|ARGDC_IGNH4,tr|I0A316|I0A316_FERFK
tr|A8A8H4|A8A8H4_IGNH4,tr|H9ZZW4|H9ZZW4_FERFK
tr|A8AAC4|A8AAC4_IGNH4,tr|I0A252|I0A252_FERFK
tr|A8ACF5|A8ACF5_IGNH4,tr|I0A2E7|I0A2E7_FERFK
tr|A8A937|A8A937_IGNH4,tr|I0A1V7|I0A1V7_FERFK
tr|A8A8J7|A8A8J7_IGNH4,tr|I0A0S5|I0A0S5_FERFK
tr|A8AC11|A8AC11_IGNH4,tr|I0A300|I0A300_FERFK
tr|A8AA60|A8AA60_IGNH4,tr|H9ZZN2|H9ZZN2_FERFK
tr|A8AAC5|A8AAC5_IGNH4,tr|I0A251|I0A251_FERFK
sp|A8ACD4|RS4E_IGNH4,tr|I0A0J1|I0A0J1_FERFK
tr|A8AAT0|A8AAT0_IGNH4,tr|I0A2C9|I0A2C9_FERFK
tr|A8A8M6|A8A8M6_IGNH4,tr|I0A2G7|I0A2G7_FERFK
tr|A8A8W5|A8A8W5_IGNH4,tr|I0A0E7|I0A0E7_FERFK
tr|A8AA02|A8AA02_IGNH4,tr|I0A1Z5|I0A1Z5_FERFK
tr|A8ABT3|A8ABT3_IGNH4,tr|I0A2H6|I0A2H6_FERFK
tr|A8ABJ1|A8ABJ1_IGNH4,tr|I0A172|I0A172_FERFK
tr|A8A9Q7|A8A9Q7_IGNH4,tr|H9ZZM2|H9ZZM2_FERFK
tr|A8A9F4|A8A9F4_IGNH4,tr|I0A241|I0A241_FERFK
tr|A8AAV9|A8AAV9_IGNH4,tr|I0A007|I0A007_FERFK
tr|A8AC91|A8AC91_IGNH4,tr|I0A200|I0A200_FERFK
tr|A8ABB7|A8ABB7_IGNH4,tr|I0A0B2|I0A0B2_FERFK
sp|A8AAC1|FEN_IGNH4,tr|I0A046|I0A046_FERFK
tr|A8ABL0|A8ABL0_IGNH4,tr|H9ZZA6|H9ZZA6_FERFK
tr|A8A8H3|A8A8H3_IGNH4,tr|H9ZZF1|H9ZZF1_FERFK
tr|A8A9F9|A8A9F9_IGNH4,tr|I0A004|I0A004_FERFK
tr|A8A8W0|A8A8W0_IGNH4,tr|I0A2W3|I0A2W3_FERFK
tr|A8A9C0|A8A9C0_IGNH4,tr|I0A2U8|I0A2U8_FERFK
tr|A8A9I9|A8A9I9_IGNH4,tr|I0A0X7|I0A0X7_FERFK
tr|A8AAV1|A8AAV1_IGNH4,tr|I0A1K0|I0A1K0_FERFK
sp|A8ABD7|SECG_IGNH4,tr|I0A1U1|I0A1U1_FERFK
tr|A8A9H2|A8A9H2_IGNH4,tr|I0A0Q6|I0A0Q6_FERFK
tr|A8A8W2|A8A8W2_IGNH4,tr|I0A0F0|I0A0F0_FERFK
tr|A8A960|A8A960_IGNH4,tr|I0A1C5|I0A1C5_FERFK
tr|A8A8H0|A8A8H0_IGNH4,tr|I0A1F1|I0A1F1_FERFK
tr|A8AAA6|A8AAA6_IGNH4,tr|I0A1E8|I0A1E8_FERFK
tr|A8A9I5|A8A9I5_IGNH4,tr|I0A030|I0A030_FERFK
tr|A8ABM0|A8ABM0_IGNH4,tr|I0A2Y4|I0A2Y4_FERFK
tr|A8ABL5|A8ABL5_IGNH4,tr|H9ZZA0|H9ZZA0_FERFK
tr|A8AB73|A8AB73_IGNH4,tr|I0A073|I0A073_FERFK
sp|A8A9J7|DGGGP_IGNH4,tr|I0A2B5|I0A2B5_FERFK
sp|A8ABB4|RNZ_IGNH4,tr|I0A1X0|I0A1X0_FERFK
tr|A8A9Z3|A8A9Z3_IGNH4,tr|H9ZZT3|H9ZZT3_FERFK
tr|A8AC48|A8AC48_IGNH4,tr|I0A260|I0A260_FERFK
tr|A8A9Y4|A8A9Y4_IGNH4,tr|I0A1H1|I0A1H1_FERFK
tr|A8A9Y3|A8A9Y3_IGNH4,tr|I0A304|I0A304_FERFK
tr|A8ABW0|A8ABW0_IGNH4,tr|I0A0N1|I0A0N1_FERFK
tr|A8AB88|A8AB88_IGNH4,tr|I0A128|I0A128_FERFK
tr|A8AAV3|A8AAV3_IGNH4,tr|I0A0C1|I0A0C1_FERFK
tr|A8ABU5|A8ABU5_IGNH4,tr|I0A1A3|I0A1A3_FERFK
tr|A8ABL7|A8ABL7_IGNH4,tr|H9ZZ95|H9ZZ95_FERFK
tr|A8AAT3|A8AAT3_IGNH4,tr|I0A2H9|I0A2H9_FERFK
tr|A8A8G3|A8A8G3_IGNH4,tr|I0A2V9|I0A2V9_FERFK
tr|A8A8V7|A8A8V7_IGNH4,tr|I0A228|I0A228_FERFK
tr|A8AAM3|A8AAM3_IGNH4,tr|I0A2X1|I0A2X1_FERFK
tr|A8AC87|A8AC87_IGNH4,tr|I0A035|I0A035_FERFK
sp|A8ABK3|IF5A_IGNH4,tr|I0A297|I0A297_FERFK
